name,quantity,material,orientation,category,bounds_mm
foot_print_2x,2,PETG,bottom down,frame,"[72.00419597126967, 176.00419597126964, 10.004195971269663]"
tpu_foot_pad_print_2x,2,TPU 95A,flat,frame,"[68.00000019999999, 172.0000002, 1.2000002]"
side_segment_01_print_2x,2,PETG,large YZ face on bed,frame,"[198.66750602092065, 180.0000002000001, 16.00377639414269]"
side_segment_02_print_2x,2,PETG,large YZ face on bed,frame,"[198.66750602092065, 180.0000002000001, 16.0037763941427]"
side_segment_03_print_2x,2,PETG,large YZ face on bed,frame,"[186.66666686666676, 180.00435848153947, 16.007319809057122]"
shelf_bracket_left_print,2,PETG,large face on bed,bracket,"[78.00000020000006, 230.00000020000007, 40.00195822659252]"
shelf_bracket_right_print,2,PETG,large face on bed,bracket,"[78.00000020000006, 230.00000020000007, 40.00195822659253]"
shelf_seam_joiner_print,4,PETG,flat,shelf,"[100.00279738084642, 18.002797380846427, 6.003147028452235]"
level_01_shelf_tile_01_print,1,PETG,top face on bed,shelf,"[221.50000020000007, 242.00000020000004, 36.0018882970714]"
level_01_fascia_01_fluted_print,1,PLA/PETG decorative,front face selected by finish,decor,"[212.7000002000001, 17.400000200000115, 2.001121356514866]"
level_01_shelf_tile_02_print,1,PETG,top face on bed,shelf,"[213.50000020000016, 232.20000020000012, 36.0018882970714]"
level_01_fascia_02_fluted_print,1,PLA/PETG decorative,front face selected by finish,decor,"[212.70000022089988, 17.40000022089991, 2.0250296288886416]"
level_01_module_01_drawer_housing_print,1,PETG,rear wall on bed; front opening up,module,"[207.50000020000004, 92.00000020000006, 198.00000020000004]"
level_01_module_01_drawer_print,1,PETG,bottom down,module,"[206.5000002117588, 196.6210047316761, 91.00000021175879]"
level_01_module_02_bin_print,1,PETG,bottom down,module,"[207.50000020000004, 199.74819033781833, 104.00559456169283]"
level_01_hanger_print,2,PETG,large face on bed,module,"[76.00000020000002, 17.30000020000001, 18.00000020000002]"
level_02_shelf_tile_01_print,1,PETG,top face on bed,shelf,"[221.50000020000007, 242.00000020000004, 36.0018882970714]"
level_02_fascia_01_ribs_print,1,PLA/PETG decorative,front face selected by finish,decor,"[212.7000002, 17.400000200000058, 2.800000200000058]"
level_02_shelf_tile_02_print,1,PETG,top face on bed,shelf,"[213.50000020000016, 232.20000020000012, 36.0018882970714]"
level_02_fascia_02_ribs_print,1,PLA/PETG decorative,front face selected by finish,decor,"[212.7000002, 17.400000200000058, 2.800000200000058]"
level_02_hanger_print,1,PETG,large face on bed,module,"[76.00000020000002, 17.30000020000001, 18.00000020000002]"
personalized_header_backer_print,1,PETG,rear face on bed,decor,"[220.00000020000004, 102.20000020000002, 6.00000020000003]"
personalized_header_insert_print,1,decorative PLA/PETG,rear face on bed,decor,"[180.00000023661775, 70.00000023661774, 2.4609959332160485]"
anti_tip_wall_spacer_print_2x,2,PETG,largest face on bed,mounting,"[34.00000020000003, 70.00000020000002, 8.004335830311941]"
fit_coupon_020_030_040_050_print,1,same material as frame,flat,coupon,"[112.00000019999999, 60.0000002, 17.000000200000006]"
