name,quantity,material,orientation,category,bounds_mm
rear_floor_foot_print_2x,2,PETG,bottom down,frame,"[40.00419597126964, 100.00419597126962, 16.00419597126963]"
front_floor_foot_print_2x,2,PETG,bottom down,frame,"[40.00419597126964, 100.00419597126962, 16.00419597126963]"
rear_tpu_foot_pad_print_2x,2,TPU 95A,flat,frame,"[36.0000002, 96.00000019999999, 4.201398790423215]"
front_tpu_foot_pad_print_2x,2,TPU 95A,flat,frame,"[36.0000002, 96.00000019999999, 4.201398790423215]"
side_segment_01_print_2x,2,PETG,large YZ face on bed,frame,"[246.1151250685397, 240.0000002000001, 20.003916253185036]"
side_segment_02_print_2x,2,PETG,large YZ face on bed,frame,"[246.1151250685397, 240.0000002000001, 20.00391625318503]"
side_segment_03_print_2x,2,PETG,large YZ face on bed,frame,"[246.11512506853973, 240.00000020000016, 20.003916253185025]"
side_segment_04_print_2x,2,PETG,large YZ face on bed,frame,"[246.1151250685397, 240.0000002000001, 20.003916253185032]"
side_segment_05_print_2x,2,PETG,large YZ face on bed,frame,"[246.1151250685397, 240.0000002000001, 20.00391625318503]"
side_segment_06_print_2x,2,PETG,large YZ face on bed,frame,"[246.11512506853973, 240.00216801515606, 20.003916253185064]"
side_segment_07_print_2x,2,PETG,large YZ face on bed,frame,"[234.1142859142858, 240.00216801515603, 20.00391625318507]"
shelf_bracket_left_print,2,PETG,large face on bed,bracket,"[90.00000020000007, 240.00000020000004, 48.00195822659251]"
shelf_bracket_right_print,2,PETG,large face on bed,bracket,"[90.00000020000006, 240.00000020000004, 48.0019582265925]"
wide_module_m3_seam_joiner_print,6,PETG,flat,module,"[60.00279738084642, 18.002797380846424, 3.0027973808464203]"
shelf_seam_joiner_print,8,PETG,flat,shelf,"[100.00279738084642, 18.002797380846427, 6.003147028452235]"
level_01_shelf_tile_01_print,1,PETG,top face on bed,shelf,"[214.66666686666673, 250.00000020000004, 44.00188829707141]"
level_01_fascia_01_fluted_print,1,PLA/PETG decorative,front face selected by finish,decor,"[205.8666668666667, 25.400000200000058, 2.001121356514842]"
level_01_shelf_tile_02_print,1,PETG,top face on bed,shelf,"[214.66666686666673, 250.00000020000004, 44.00188829707141]"
level_01_fascia_02_fluted_print,1,PLA/PETG decorative,front face selected by finish,decor,"[205.86666687132427, 25.40000020465765, 2.046331270495978]"
level_01_shelf_tile_03_print,1,PETG,top face on bed,shelf,"[206.6666668666668, 242.2000002000001, 44.00188829707141]"
level_01_fascia_03_fluted_print,1,PLA/PETG decorative,front face selected by finish,decor,"[205.8666668666667, 25.400000200000058, 2.001121356514842]"
level_01_module_01_drawer_housing_left_print,1,PETG,rear wall on bed; front opening up,module,"[149.00000020000004, 98.00314702845229, 198.00000020000004]"
level_01_module_01_drawer_housing_right_print,1,PETG,rear wall on bed; front opening up,module,"[149.0000002000001, 98.00314702845229, 198.00000020000007]"
level_01_module_01_drawer_left_print,1,PETG,bottom down,module,"[148.50000021253703, 196.62100473167607, 91.00000021253705]"
level_01_module_01_drawer_right_print,1,PETG,bottom down,module,"[148.5000002370565, 196.41524264068852, 91.00000023705651]"
level_01_module_02_bin_left_print,1,PETG,bottom down,module,"[149.00000020000007, 199.7000002000001, 104.00559456169285]"
level_01_module_02_bin_right_print,1,PETG,bottom down,module,"[149.0000002000001, 199.74819033781844, 104.00559456169285]"
level_01_hanger_print,2,PETG,large face on bed,module,"[84.00000020000002, 19.30000020000003, 18.000000200000038]"
level_02_shelf_tile_01_print,1,PETG,top face on bed,shelf,"[214.66666686666673, 250.00000020000004, 44.00188829707141]"
level_02_fascia_01_ribs_print,1,PLA/PETG decorative,front face selected by finish,decor,"[205.86666686666663, 25.400000200000008, 2.8000002000000346]"
level_02_shelf_tile_02_print,1,PETG,top face on bed,shelf,"[214.66666686666673, 250.00000020000004, 44.00188829707141]"
level_02_fascia_02_ribs_print,1,PLA/PETG decorative,front face selected by finish,decor,"[205.86666686666663, 25.400000200000008, 2.8000002000000346]"
level_02_shelf_tile_03_print,1,PETG,top face on bed,shelf,"[206.6666668666668, 242.2000002000001, 44.00188829707141]"
level_02_fascia_03_ribs_print,1,PLA/PETG decorative,front face selected by finish,decor,"[205.86666686666663, 25.400000200000008, 2.8000002000000346]"
level_02_module_01_tray_print,1,PETG,bottom down,module,"[197.3333335333334, 198.00000020000004, 36.00000020000003]"
level_02_hanger_print,1,PETG,large face on bed,module,"[84.00000020000002, 19.30000020000003, 18.000000200000038]"
personalized_header_backer_print,1,PETG,rear face on bed,decor,"[220.00000020000004, 102.20000020000002, 6.00000020000003]"
personalized_header_insert_print,1,decorative PLA/PETG,rear face on bed,decor,"[180.00000023661775, 70.00000023661774, 2.4609959332160485]"
height_adjustable_wall_restraint_spacer_print_2x,2,PETG,largest face on bed,mounting,"[34.00000020000003, 80.00000020000002, 20.004335830311952]"
fit_coupon_020_030_040_050_print,1,same material as frame,flat,coupon,"[112.00000019999999, 60.0000002, 17.000000200000006]"
wide_module_m3_seam_coupon_print,1,same PETG and M3 hardware process as wide modules,flat,coupon,"[80.30000020000003, 63.001398790423224, 8.002937239888741]"
floor_foot_tpu_lock_coupon_print,1,"production PETG, TPU and M4 foot-lock hardware",use exported multi-body orientation,coupon,"[140.00209808563483, 100.00419597126962, 20.003671499860925]"
