x,y,z
-5.185989020,0.000000000,15.976401644
-5.305988579,0.067000000,15.968946064
-5.425972117,0.134000000,15.961497125
-5.545924072,0.201000000,15.954058061
-5.665828879,0.268000000,15.946634126
-5.785670972,0.335000000,15.939232545
-5.905434787,0.402000000,15.931862477
-6.025104760,0.469000000,15.924534966
-6.144665326,0.536000000,15.917262898
-6.264100921,0.603000000,15.910060955
-6.383395979,0.670000000,15.902945568
-6.502534937,0.737000000,15.895934868
-6.621502229,0.804000000,15.889048638
-6.740282292,0.871000000,15.882308264
-6.858859560,0.938000000,15.875736682
-6.977218469,1.005000000,15.869358331
-7.095343454,1.072000000,15.863199097
-7.213218951,1.139000000,15.857286265
-7.330829395,1.206000000,15.851648460
-7.448159222,1.273000000,15.846315599
-7.565192867,1.340000000,15.841318833
-7.681914766,1.407000000,15.836690494
-7.798309353,1.474000000,15.832464039
-7.914361064,1.541000000,15.828673993
-8.030054335,1.608000000,15.825355894
-8.145373602,1.675000000,15.822546236
-8.260303298,1.742000000,15.820282411
-8.374827861,1.809000000,15.818602653
-8.488931725,1.876000000,15.817545978
-8.602599326,1.943000000,15.817152128
-8.715815098,2.010000000,15.817461510
-8.828563479,2.077000000,15.818515140
-8.940828902,2.144000000,15.820354583
-9.052595804,2.211000000,15.823021892
-9.163848620,2.278000000,15.826559551
-9.274571785,2.345000000,15.831010415
-9.384749734,2.412000000,15.836417650
-9.494366904,2.479000000,15.842824675
-9.603407729,2.546000000,15.850275097
-9.711856645,2.613000000,15.858812660
-9.819698087,2.680000000,15.868481176
-9.926916491,2.747000000,15.879324472
-10.033496292,2.814000000,15.891386328
-10.139421926,2.881000000,15.904710416
-10.244677827,2.948000000,15.919340243
-10.349248432,3.015000000,15.935319089
-10.453118176,3.082000000,15.952689951
-10.556271494,3.149000000,15.971495480
-10.658692822,3.216000000,15.991777926
-10.760366594,3.283000000,16.013579076
-10.861277247,3.350000000,16.036940197
-10.961409216,3.417000000,16.061901978
-11.060746936,3.484000000,16.088504474
-11.159274843,3.551000000,16.116787042
-11.256977372,3.618000000,16.146788293
-11.353838958,3.685000000,16.178546026
-11.449844038,3.752000000,16.212097178
-11.544977046,3.819000000,16.247477764
-11.639222417,3.886000000,16.284722825
-11.732564588,3.953000000,16.323866366
-11.824987993,4.020000000,16.364941311
-11.916477068,4.087000000,16.407979438
-12.007016249,4.154000000,16.453011335
-12.096589970,4.221000000,16.500066338
-12.185182668,4.288000000,16.549172483
-12.272778777,4.355000000,16.600356455
-12.359362734,4.422000000,16.653643532
-12.444918973,4.489000000,16.709057535
-12.529431930,4.556000000,16.766620781
-12.612886040,4.623000000,16.826354028
-12.695265739,4.690000000,16.888276429
-12.776555462,4.757000000,16.952405483
-12.856739644,4.824000000,17.018756986
-12.935802722,4.891000000,17.087344984
-13.013729130,4.958000000,17.158181728
-13.090503303,5.025000000,17.231277626
-13.166109678,5.092000000,17.306641198
-13.240532690,5.159000000,17.384279034
-13.313756774,5.226000000,17.464195749
-13.385766365,5.293000000,17.546393938
-13.456545898,5.360000000,17.630874138
-13.526083962,5.427000000,17.717635976
-13.594385748,5.494000000,17.806682012
-13.661460600,5.561000000,17.898014702
-13.727317861,5.628000000,17.991635282
-13.791966877,5.695000000,18.087543778
-13.855416990,5.762000000,18.185739011
-13.917677545,5.829000000,18.286218602
-13.978757885,5.896000000,18.388978982
-14.038667355,5.963000000,18.494015397
