x,y,z
5.185989020,0.000000000,15.976401644
5.305475228,0.067000000,15.969730430
5.424946213,0.134000000,15.963063718
5.544386755,0.201000000,15.956412788
5.663781629,0.268000000,15.949796113
5.783115614,0.335000000,15.943239128
5.902373488,0.402000000,15.936774006
6.021540029,0.469000000,15.930439418
6.140600013,0.536000000,15.924280306
6.259538220,0.603000000,15.918347644
6.378339426,0.670000000,15.912698200
6.496988410,0.737000000,15.907394296
6.615469949,0.804000000,15.902503569
6.733768821,0.871000000,15.898098731
6.851869804,0.938000000,15.894257321
6.969757675,1.005000000,15.891061468
7.087417212,1.072000000,15.888597640
7.204833193,1.139000000,15.886956408
7.321990396,1.206000000,15.886232192
7.438873598,1.273000000,15.886523024
7.555467577,1.340000000,15.887930298
7.671757111,1.407000000,15.890558529
7.787726978,1.474000000,15.894515105
7.903361955,1.541000000,15.899910048
8.018646821,1.608000000,15.906855768
8.133566352,1.675000000,15.915466821
8.248105327,1.742000000,15.925859669
8.362248523,1.809000000,15.938152439
8.475980718,1.876000000,15.952464688
8.589286690,1.943000000,15.968917158
8.702151217,2.010000000,15.987631549
8.814559076,2.077000000,16.008730280
8.926495045,2.144000000,16.032336259
9.037943902,2.211000000,16.058572650
9.148890425,2.278000000,16.087562649
9.259319391,2.345000000,16.119429256
9.369215578,2.412000000,16.154295051
9.478563764,2.479000000,16.192281975
9.587348726,2.546000000,16.233511109
9.695555242,2.613000000,16.278102462
9.803168091,2.680000000,16.326174754
9.910172049,2.747000000,16.377845210
10.016551895,2.814000000,16.433229348
10.122292407,2.881000000,16.492440781
10.227378361,2.948000000,16.555591014
10.331794536,3.015000000,16.622789245
10.435525709,3.082000000,16.694142176
10.538556659,3.149000000,16.769753818
10.640872163,3.216000000,16.849725305
10.742456999,3.283000000,16.934154717
10.843295944,3.350000000,17.023136892
10.943373776,3.417000000,17.116763259
11.042675273,3.484000000,17.215121662
11.141185213,3.551000000,17.318296195
11.238888373,3.618000000,17.426367039
11.335769532,3.685000000,17.539410304
11.431813466,3.752000000,17.657497870
11.527004955,3.819000000,17.780697245
11.621328774,3.886000000,17.909071413
11.714769703,3.953000000,18.042678696
11.807312519,4.020000000,18.181572615
11.898942000,4.087000000,18.325801761
11.989642923,4.154000000,18.475409666
12.079400066,4.221000000,18.630434682
12.168198207,4.288000000,18.790909861
12.256022123,4.355000000,18.956862843
12.342856593,4.422000000,19.128315750
12.428686395,4.489000000,19.305285081
12.513496305,4.556000000,19.487781612
12.597271101,4.623000000,19.675810310
12.679995562,4.690000000,19.869370234
12.761654466,4.757000000,20.068454465
12.842232589,4.824000000,20.273050015
12.921714709,4.891000000,20.483137765
13.000085606,4.958000000,20.698692391
13.077330055,5.025000000,20.919682306
13.153432835,5.092000000,21.146069598
13.228378723,5.159000000,21.377809983
13.302152498,5.226000000,21.614852756
13.374738937,5.293000000,21.857140750
13.446122818,5.360000000,22.104610298
13.516292908,5.427000000,22.357194765
13.585253932,5.494000000,22.614836042
13.653014604,5.561000000,22.877475385
13.719583639,5.628000000,23.145050131
13.784969751,5.695000000,23.417493768
13.849181655,5.762000000,23.694736012
13.912228064,5.829000000,23.976702882
13.974117694,5.896000000,24.263316780
14.034859259,5.963000000,24.554496569
14.094461473,6.030000000,24.850157661
14.152933050,6.097000000,25.150212098
14.210282705,6.164000000,25.454568644
14.266519152,6.231000000,25.763132870
14.321651107,6.298000000,26.075807250
14.375687282,6.365000000,26.392491249
14.428636393,6.432000000,26.713081419
14.480507153,6.499000000,27.037471497
14.531308278,6.566000000,27.365552501
14.581048482,6.633000000,27.697212825
14.629736478,6.700000000,28.032338344
14.677380982,6.767000000,28.370812513
14.723990708,6.834000000,28.712516465
14.769574370,6.901000000,29.057329118
14.814140683,6.968000000,29.405127277
14.857698361,7.035000000,29.755785736
14.900256118,7.102000000,30.109177386
14.941822669,7.169000000,30.465173316
14.982406729,7.236000000,30.823642921
15.022017010,7.303000000,31.184454009
15.060662229,7.370000000,31.547472904
15.098351100,7.437000000,31.912564554
15.135092336,7.504000000,32.279592636
15.170894652,7.571000000,32.648419665
15.205766763,7.638000000,33.018907098
15.239717383,7.705000000,33.390915439
15.272755226,7.772000000,33.764304348
15.304889007,7.839000000,34.138932745
15.336127440,7.906000000,34.514658916
15.366479240,7.973000000,34.891340616
15.395953120,8.040000000,35.268835176
15.424557796,8.107000000,35.646999604
15.452301982,8.174000000,36.025690689
15.479194392,8.241000000,36.404765107
15.505243740,8.308000000,36.784079515
15.530458741,8.375000000,37.163490661
15.554848110,8.442000000,37.542855476
15.578420560,8.509000000,37.922031179
15.601184807,8.576000000,38.300875371
15.623149563,8.643000000,38.679246134
15.644323545,8.710000000,39.057002127
15.664715466,8.777000000,39.434002680
15.684334041,8.844000000,39.810107888
15.703187984,8.911000000,40.185178703
15.721286009,8.978000000,40.559077026
15.738636831,9.045000000,40.931665796
15.755249164,9.112000000,41.302809077
15.771131723,9.179000000,41.672372148
15.786293223,9.246000000,42.040221587
15.800742376,9.313000000,42.406225352
15.814487898,9.380000000,42.770252870
15.827538504,9.447000000,43.132175110
15.839902907,9.514000000,43.491864668
15.851589822,9.581000000,43.849195843
15.862607964,9.648000000,44.204044712
15.872966046,9.715000000,44.556289204
15.882672784,9.782000000,44.905809175
15.891736891,9.849000000,45.252486473
15.900167082,9.916000000,45.596205016
15.907972072,9.983000000,45.936850848
15.915160574,10.050000000,46.274312215
15.921741304,10.117000000,46.608479619
15.927722975,10.184000000,46.939245887
15.933114302,10.251000000,47.266506224
15.937923999,10.318000000,47.590158278
15.942160781,10.385000000,47.910102189
15.945833362,10.452000000,48.226240646
15.948950457,10.519000000,48.538478938
15.951520780,10.586000000,48.846725004
15.953553045,10.653000000,49.150889484
15.955055967,10.720000000,49.450885757
15.956038259,10.787000000,49.746629995
15.956508638,10.854000000,50.038041196
15.956475816,10.921000000,50.325041231
15.955948509,10.988000000,50.607554876
15.954935430,11.055000000,50.885509853
15.953445294,11.122000000,51.158836861
15.951486816,11.189000000,51.427469607
15.949068710,11.256000000,51.691344840
15.946199690,11.323000000,51.950402375
15.942888470,11.390000000,52.204585123
15.939143766,11.457000000,52.453839109
15.934974291,11.524000000,52.698113502
15.930388760,11.591000000,52.937360627
15.925395887,11.658000000,53.171535989
15.920004387,11.725000000,53.400598289
15.914222974,11.792000000,53.624509436
15.908060362,11.859000000,53.843234557
15.901525266,11.926000000,54.056742018
15.894626400,11.993000000,54.265003419
15.887372479,12.060000000,54.467993613
15.879772217,12.127000000,54.665690705
15.871834328,12.194000000,54.858076056
15.863567527,12.261000000,55.045134285
15.854980528,12.328000000,55.226853271
15.846082046,12.395000000,55.403224151
15.836880795,12.462000000,55.574241312
15.827385489,12.529000000,55.739902393
15.817604843,12.596000000,55.900208275
15.807547571,12.663000000,56.055163071
15.797222387,12.730000000,56.204774121
15.786638007,12.797000000,56.349051978
15.775803144,12.864000000,56.488010395
15.764726512,12.931000000,56.621666317
15.753416827,12.998000000,56.750039855
15.741882802,13.065000000,56.873154282
15.730133152,13.132000000,56.991036005
15.718176591,13.199000000,57.103714554
15.706021835,13.266000000,57.211222556
15.693677596,13.333000000,57.313595718
15.681152589,13.400000000,57.410872802
15.668455539,13.467000000,57.503095579
15.655595208,13.534000000,57.590308729
15.642580365,13.601000000,57.672559889
15.629419783,13.668000000,57.749899656
15.616122234,13.735000000,57.822381558
15.602696487,13.802000000,57.890062029
15.589151315,13.869000000,57.953000379
15.575495488,13.936000000,58.011258769
15.561737779,14.003000000,58.064902177
15.547886958,14.070000000,58.113998373
15.533951796,14.137000000,58.158617889
15.519941065,14.204000000,58.198833987
15.505863536,14.271000000,58.234722629
15.491727980,14.338000000,58.266362450
15.477543169,14.405000000,58.293834725
15.463317874,14.472000000,58.317223336
15.449060866,14.539000000,58.336614750
15.434780916,14.606000000,58.352097979
15.420486796,14.673000000,58.363764559
15.406187277,14.740000000,58.371708514
15.391891130,14.807000000,58.376026331
15.377607126,14.874000000,58.376816929
15.363344037,14.941000000,58.374181633
15.349110634,15.008000000,58.368224147
15.334915688,15.075000000,58.359050525
15.320767970,15.142000000,58.346769147
15.306676253,15.209000000,58.331490695
15.292649306,15.276000000,58.313328130
15.278695901,15.343000000,58.292396667
15.264824810,15.410000000,58.268813756
15.251044804,15.477000000,58.242699062
15.237364654,15.544000000,58.214174445
15.223793131,15.611000000,58.183363946
15.210339006,15.678000000,58.150393771
15.197011052,15.745000000,58.115392277
15.183818038,15.812000000,58.078489960
15.170768737,15.879000000,58.039819447
15.157871920,15.946000000,57.999515489
15.145136357,16.013000000,57.957714954
15.132570820,16.080000000,57.914556826
15.120182469,16.147000000,57.870173743
15.107972013,16.214000000,57.824666582
15.095938550,16.281000000,57.778129799
15.084081177,16.348000000,57.730659910
15.072398993,16.415000000,57.682355525
15.060891096,16.482000000,57.633317381
15.049556583,16.549000000,57.583648376
15.038394552,16.616000000,57.533453602
15.027404100,16.683000000,57.482840379
15.016584327,16.750000000,57.431918298
